ABC_2017_05_16.txt/A3FYWUZK52IC2J, Female, 27, FL, 7, Yes, Liberterian

ABC_2017_05_13.txt/A3ORZPMVIVNGJS, Female, 36, PA, 0, Yes, Democratic

ABC_2017_05_13.txt/A32QWM7BWCSPTS, Female, 39, KS, 4, Yes, Republican

ABC_2017_05_13.txt/A1TKMDI890M1DE, Male, 47, IL, 4, Yes, Democratic

ABC_2017_05_13.txt/A3IR7DFEKLLLO, Male, 40, NY, 5, Yes, Republican

ABC_2017_05_13.txt/A5XQ30GQTHHK6, Female, 45, AZ, 2, Yes, Democratic

ABC_2017_05_13.txt/AFJUL2JDC5TMV, Female, 29, CO, 5, Yes, Independent

ABC_2017_05_14.txt/A16SAB417Y96G4, Male, 30, CO, 1, Yes, Independent

ABC_2017_05_14.txt/A2B8L88BUHVOO6, Male, 38, FL, 3, Yes, Republican

ABC_2017_05_14.txt/A3DMLZASIE8BN6, Male, 30, default, 7, Yes, Independent

ABC_2017_05_14.txt/A1N8TKTLXV92QR, Male, 57, KS, 2, Yes, Independent

ABC_2017_05_16.txt/A2B8L88BUHVOO6, Male, 38, FL, 3, Yes, Republican

ABC_2017_05_16.txt/A3TS2NCBAB9L6V, Male, 33, FL, 0, Yes, Independent

ABC_2017_05_16.txt/AE0IBNKTX4GSG, Male, 50, AZ, 7, Yes, Republican

ABC_2017_05_16.txt/A2NY4882G47O1C, Female, 56, CA, 5, Yes, Independent

NBC_2017_05_13.txt/A1F8ZAE0P2RA8O, Female, 25, CA, 4, Yes, Democratic

NBC_2017_05_13.txt/A1BBO359FPVVOX, Male, 24, MT, 1, Yes, Independent

NBC_2017_05_13.txt/A1YYHFOWV20G1L, Male, 40, KY, 3, Yes, Independent

NBC_2017_05_13.txt/ACI8PUCF5OPDC, Female, 32, WY, 7, Yes, Liberterian

NBC_2017_05_13.txt/A2V8LLZRTOP79S, Female, 25, CA, 5, Yes, Independent

NBC_2017_05_16.txt/ASKV5KO5CV616, Female, 23, CA, 4, Yes, Democratic

NBC_2017_05_16.txt/A2V8LLZRTOP79S, Female, 25, FL, 3, Yes, Republican

NBC_2017_05_16.txt/A15JI9ZIILGCAK, Male, 30, FL, 3, Yes, Liberterian

NBC_2017_05_16.txt/A1CE2XPYCDRHVZ, Female, 41, NY, 6, Yes, Democratic

NBC_2017_05_16.txt/A2XKP0UTQBSTD, Male, 33, FL, 5, Yes, Republican

ABC_2017_04_05.txt/AV1AXTF0Z3KBL, Female, 23, TX, 4, Yes, Independent

ABC_2017_04_05.txt/A53S7J4JGWG38, Male, 41, NY, 7, Yes, Democratic

ABC_2017_04_05.txt/A2V8LLZRTOP79S, Female, 25, CA, 5, Yes, Republican

ABC_2017_04_05.txt/A10HEV2856GIQL, Male, 32, NY, 3, No, Republican

