channel,date,color
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Green
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
ABC,2013_04_16,Yellow
