channel,date,color
ABC,2013_08_23,Green
ABC,2013_08_23,Green
ABC,2013_08_23,Green
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Green
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Green
ABC,2013_08_23,Green
ABC,2013_08_23,Green
ABC,2013_08_23,Yellow
ABC,2013_08_23,Green
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
ABC,2013_08_23,Red
ABC,2013_08_23,Yellow
ABC,2013_08_23,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Yellow
NBC,2013_08_27,Yellow
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
NBC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Green
ABC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Green
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_27,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
ABC,2013_08_24,Green
ABC,2013_08_24,Green
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
ABC,2013_08_24,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
ABC,2013_08_24,Green
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
ABC,2013_08_24,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
ABC,2013_08_24,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
ABC,2013_08_24,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Yellow
ABC,2013_08_24,Green
